Cotacao;Ticker
AES Tiete Energia SA Brazilian Units;TIET11.SA
AF Invest FII - Recebiveis Imobiliarios;AFCR11.SA
Aliansce Sonae Shopping Centers SA;ALSO3.SA
Alianza Trust Renda Imobiliaria FII;ALZR11.SA
Alpargatas SA;ALPA3.SA
Alpargatas SA Preference Shares;ALPA4.SA
Alper Consultoria e Corretora deSegursSA;APER3.SA
Alupar Investimento SA Brazilian Units;ALUP11.SA
Ambev SA;ABEV3.SA
Anima Holding SA;ANIM3.SA
Aragon - Fundo de Investimento Imobiliario;RBCO11.SA
Arezzo Industria E Comercio SA;ARZZ3.SA
Atacadao SA;CRFB3.SA
Autonomy Edificios Corporativos FII;AIEC11.SA
Azul SA;AZUL4.SA
B2W Companhia Digital;BTOW3.SA
B3 SA Brasil Bolsa Balcao;B3SA3.SA
Bahema Educacao SA;BAHI3.SA
Banco ABC Brasil SA;ABCB4.SA
Banco Bradesco SA;BBDC3.SA
Banco Bradesco SA Preference Shares;BBDC4.SA
Banco BTG Pactual SA Brazilian Units;BPAC11.SA
Banco do Brasil SA;BBAS3.SA
Banco do Estado de Sergipe SA Preference Shares;BGIP4.SA
Banco do Estado do Rio Grande do Sul B Pref Shs;BRSR6.SA
Banco do Estado do Rio Grande do Sul SA;BRSR3.SA
Banco Indusval SA;IDVL3.SA
Banco Inter SA Preference Shares;BIDI4.SA
Banco Pan SA;BPAN4.SA
Banco Pine SA Preference Shares;PINE4.SA
Banco Santander Brasil SA Brazilian Units;SANB11.SA
Banestes Recebiveis Imobiliarios FII;BCRI11.SA
Banestes SA Banco do Estado Esprt Santo;BEES3.SA
Banrisul Novas Fronteiras FII;BNFS11.SA
BB Fundo De Investimento Imobiliario Progressivo;BBFI11B.SA
BB Progressivo II FI Imobiliario FII;BBPO11.SA
BB Renda Corporativa FI Imobiliario FII;BBRC11.SA
BB Renda de Papeis Imobiliarios FI imobiliario FII;RNDP11.SA
BB Renda Papeis imobiliarios II FII;RDPD11.SA
BB Seguridade Participacoes SA;BBSE3.SA
Biomm SA;BIOM3.SA
Biosev SA;BSEV3.SA
BK Brasil Operacao e Assessr Rstrnts SA;BKBR3.SA
Bluecap Renda Logistica FII - FII;BLCP11.SA
BR Malls Participacoes SA;BRML3.SA
BR Properties SA;BRPR3.SA
Bradesco Carteira Imobiliaria Ativa;BCIA11.SA
Bradespar SA;BRAP3.SA
Bradespar SA Preference Shares;BRAP4.SA
Brasil Brokers Participacoes SA;BBRK3.SA
Brasil Plural II - FII;NEWL11.SA
Brasilagro Companhia Braslr Propds Agrcl;AGRO3.SA
Braskem SA;BRKM3.SA
Braskem SA Preference Shares Series A;BRKM5.SA
Brazil Real Estate Victory Fund I Fundo de Investimento Imobiliario Closed Fund;BREV11.SA
Brazil Realty FI Imobiliario;BZLI11.SA
Brazilian Graveyard and Death Care Services FII;CARE11.SA
Bresco Logistica Fundo de Investimento Imobiliaro ETF;BRCO11.SA
BRF SA;BRFS3.SA
BTG Pactual Logistica FI Imobiliario;BTLG11.SA
Caixa Rio Bravo FF de Investimento Imobiliario;CXRI11.SA
Caixa Rio Bravo FF de Investimento Imobiliario II;CRFF11.SA
Cambuci Ord Shs;CAMB3.SA
Camil Alimentos SA;CAML3.SA
Capitania Reit FOF - FI Imobiliario;CPFF11.SA
Capitania Securities II Fundo de Investimento Imobiliario Closed Fund;CPTS11.SA
Castello Branco Office Park FI Imobiliario FII;CBOP11.SA
CCR SA;CCRO3.SA
Centrais Eletricas Brasileiras SA;ELET3.SA
Centrais Eletricas Brasileiras SA Preference Shares Series B;ELET6.SA
Centrais Eletricas de Santa Catarina SA Preference Shares;CLSC4.SA
Centro de Imagem Diagnosticos SA;AALR3.SA
CESP Companhia Energetica de Sao Paulo;CESP3.SA
Cia De Fiacao E Tecidos Cedro Cachoeira Preference Shares;CEDO4.SA
Cia Hering;HGTX3.SA
Cia Paranaense De Energia Copel Pref Shs;CPLE6.SA
Cidade Jardim Continental Tower Fdo Inv Imob Cf;CJCT11.SA
Cielo SA;CIEL3.SA
Cogna Educacao SA;COGN3.SA
Companhia Brasileira de Distribuicao;PCAR3.SA
Companhia de Ferro Ligas da Bah Frbs Preference Shares;FESA4.SA
Companhia de Locacao das Americas;LCAM3.SA
Companhia de Saneamento Bsc DEDSP Sbsp;SBSP3.SA
Companhia de Saneamento de Minas Gerais;CSMG3.SA
Companhia de Saneamento Parana SANEPAR Brazilian Units;SAPR11.SA
Companhia de Saneamento Parana SANEPAR Preference Shares;SAPR4.SA
Companhia de Tecidos Nrt d Mns COTEMINAS Preference Shares;CTNM4.SA
Companhia Energetica de Minas Gers CEMIG;CMIG3.SA
Companhia Energetica de Minas Gers CEMIG Preference Shares;CMIG4.SA
Companhia Energetica de Sao Paulo B Pref Shs;CESP6.SA
Companhia Energetica do Ceara - COELCE Preference Shares Series A;COCE5.SA
Companhia Paranaense de Energia - COPEL;CPLE3.SA
Companhia Siderurgica Nacional;CSNA3.SA
Construtora Tenda SA;TEND3.SA
Cosan Logistica SA;RLOG3.SA
Cosan SA;CSAN3.SA
CPFL Energia S.A.;CPFE3.SA
CR2 Empreendimentos Imobiliarios SA;CRDE3.SA
CSHG GR;GRLV11.SA
CSHG Imobiliario FOF FII;HGFF11.SA
CSHG Prime Offices FII - FII;HGPO11.SA
CSHG Real Estate FI Imobiliario-FII;HGRE11.SA
CSHG Recebiveis Imobiliarios FII;HGCR11.SA
CSHG Renda Urbana-FI Imobiliario-FII;HGRU11.SA
CSU Cardsystem SA;CARD3.SA
CTEEP Cia Transm Energia Eletr Paulista Preference Shares;TRPL4.SA
CVC Brasil Operadora e Agencia d Vgns SA;CVCB3.SA
Cyrela Brazil Realty SA Emprdts e Prtpcs;CYRE3.SA
Cyrela Commercial Propertes SA Emp Partp;CCPR3.SA
Diagnosticos da America SA;DASA3.SA
Direcional Engenharia SA;DIRR3.SA
Dommo Energia SA;DMMO3.SA
Duratex SA;DTEX3.SA
Ecorodovias Infraestrutura e Logistic SA;ECOR3.SA
EDP Energias do Brasil SA;ENBR3.SA
Embraer SA;EMBR3.SA
Energisa SA Brazilian Units;ENGI11.SA
Eneva SA;ENEV3.SA
Engie Brasil Energia SA;EGIE3.SA
Equatorial Energia SA;EQTL3.SA
Eucatex SA Industria e Comercio Preference Shares;EUCA4.SA
EVEN Construtora e Incorporadora SA;EVEN3.SA
EZTEC Empreendimentos e Participacoes SA;EZTC3.SA
Fator Verita Fundo Investimento Imobiliario - FII;VRTA11.SA
Fdo Inv Imob Rbr Private Credito Imob Cef;RBRY11.SA
Fertilizantes Heringer SA;FHER3.SA
FI Imobiliario - Ceo Cyrela Commercial Properties;CEOC11.SA
FI Imobiliario - FII CENESP;CNES11.SA
FI imobiliario - FII Cyrela Thera Corporate;THRA11.SA
FI Imobiliario - FII Edificio Galeria;EDGA11.SA
FI Imobiliario - FII Hotel Maxinvest;HTMX11.SA
FI Imobiliario - FII Torre Almirante;ALMI11.SA
FI Imobiliario - FII Torre Norte;TRNT11.SA
FI Imobiliario - FII Vila Olimpia Corporate;VLOL11.SA
FI Imobiliario - Ourinvest Fundo de Fundos;OUCY11.SA
FI Imobiliario - Ourinvest Fundo de Fundos;OUFF11.SA
FI Imobiliario - Ourinvest Fundo de Fundos;WTSP11B.SA
FI Imobiliario - VBI CRI;CVBI11.SA
FI Imobiliario Anhanguera Educacional;FAED11.SA
FI Imobiliario Atrio REIT Recebiveis Imobiliarios;ARRI11.SA
FI Imobiliario Barigui Rendimentos Imobiliarios I;BARI11.SA
